date,Close,Return,Quarter
18/4/2011,4861.899902,0.002,Q2
19/4/2011,4793.299805,-0.014,Q2
20/4/2011,4859,0.014,Q2
21/4/2011,4913.799805,0.011,Q2
27/4/2011,4872.899902,-0.008,Q2
28/4/2011,4873,0,Q2
29/4/2011,4823.200195,-0.01,Q2
2/5/2011,4825.299805,0,Q2
3/5/2011,4784.600098,-0.008,Q2
4/5/2011,4740.100098,-0.009,Q2
5/5/2011,4753.700195,0.003,Q2
6/5/2011,4743,-0.002,Q2
9/5/2011,4756.799805,0.003,Q2
10/5/2011,4725.799805,-0.007,Q2
11/5/2011,4780.200195,0.012,Q2
12/5/2011,4696.100098,-0.018,Q2
13/5/2011,4711.399902,0.003,Q2
16/5/2011,4650,-0.013,Q2
17/5/2011,4683.899902,0.007,Q2
18/5/2011,4693.700195,0.002,Q2
19/5/2011,4756.399902,0.013,Q2
20/5/2011,4732.200195,-0.005,Q2
23/5/2011,4643,-0.019,Q2
24/5/2011,4628.799805,-0.003,Q2
25/5/2011,4584.700195,-0.01,Q2
26/5/2011,4660.200195,0.016,Q2
27/5/2011,4684,0.005,Q2
30/5/2011,4667.5,-0.004,Q2
31/5/2011,4708.299805,0.009,Q2
1/6/2011,4707.299805,0,Q2
2/6/2011,4600.399902,-0.023,Q2
3/6/2011,4583.100098,-0.004,Q2
6/6/2011,4569.100098,-0.003,Q2
7/6/2011,4566.299805,-0.001,Q2
8/6/2011,4536.799805,-0.006,Q2
9/6/2011,4549.600098,0.003,Q2
10/6/2011,4562.100098,0.003,Q2
14/6/2011,4585,0.005,Q2
15/6/2011,4566.799805,-0.004,Q2
16/6/2011,4479.200195,-0.019,Q2
17/6/2011,4484.899902,0.001,Q2
20/6/2011,4451.700195,-0.007,Q2
21/6/2011,4508.200195,0.013,Q2
22/6/2011,4532.600098,0.005,Q2
23/6/2011,4500.5,-0.007,Q2
24/6/2011,4508.100098,0.002,Q2
27/6/2011,4461.799805,-0.01,Q2
28/6/2011,4474.299805,0.003,Q2
29/6/2011,4529.5,0.012,Q2
30/6/2011,4608,0.017,Q2
1/7/2011,4591.200195,-0.004,Q3
4/7/2011,4610.700195,0.004,Q3
5/7/2011,4598.100098,-0.003,Q3
6/7/2011,4605,0.002,Q3
7/7/2011,4605.5,0,Q3
8/7/2011,4654.700195,0.011,Q3
11/7/2011,4582.299805,-0.016,Q3
12/7/2011,4495.399902,-0.019,Q3
13/7/2011,4514.799805,0.004,Q3
14/7/2011,4490.700195,-0.005,Q3
15/7/2011,4473.5,-0.004,Q3
18/7/2011,4472,0,Q3
19/7/2011,4468.100098,-0.001,Q3
20/7/2011,4549.700195,0.018,Q3
21/7/2011,4556,0.001,Q3
22/7/2011,4602.899902,0.01,Q3
25/7/2011,4530.399902,-0.016,Q3
26/7/2011,4573.299805,0.009,Q3
27/7/2011,4537.399902,-0.008,Q3
28/7/2011,4463.799805,-0.016,Q3
29/7/2011,4424.600098,-0.009,Q3
1/8/2011,4497.799805,0.017,Q3
2/8/2011,4433.600098,-0.014,Q3
3/8/2011,4332.799805,-0.023,Q3
4/8/2011,4276.5,-0.013,Q3
5/8/2011,4105.399902,-0.04,Q3
8/8/2011,3986.100098,-0.029,Q3
9/8/2011,4034.800049,0.012,Q3
10/8/2011,4141.299805,0.026,Q3
11/8/2011,4140.799805,0,Q3
12/8/2011,4172.600098,0.008,Q3
15/8/2011,4282.899902,0.026,Q3
16/8/2011,4247.299805,-0.008,Q3
17/8/2011,4303.899902,0.013,Q3
18/8/2011,4251.200195,-0.012,Q3
19/8/2011,4101.899902,-0.035,Q3
22/8/2011,4082.300049,-0.005,Q3
23/8/2011,4173.399902,0.022,Q3
24/8/2011,4167.600098,-0.001,Q3
25/8/2011,4212.799805,0.011,Q3
26/8/2011,4200,-0.003,Q3
29/8/2011,4263.299805,0.015,Q3
30/8/2011,4269.200195,0.001,Q3
31/8/2011,4296.5,0.006,Q3
1/9/2011,4307.5,0.003,Q3
2/9/2011,4242.899902,-0.015,Q3
5/9/2011,4141.899902,-0.024,Q3
6/9/2011,4075.5,-0.016,Q3
7/9/2011,4183.399902,0.026,Q3
8/9/2011,4188,0.001,Q3
9/9/2011,4194.700195,0.002,Q3
12/9/2011,4038.5,-0.037,Q3
13/9/2011,4072.699951,0.008,Q3
14/9/2011,4005.800049,-0.016,Q3
15/9/2011,4071.699951,0.016,Q3
16/9/2011,4149.399902,0.019,Q3
19/9/2011,4081.5,-0.016,Q3
20/9/2011,4040.199951,-0.01,Q3
21/9/2011,4071.800049,0.008,Q3
22/9/2011,3964.899902,-0.026,Q3
23/9/2011,3903.199951,-0.016,Q3
26/9/2011,3863.899902,-0.01,Q3
27/9/2011,4004.600098,0.036,Q3
28/9/2011,4039.5,0.009,Q3
29/9/2011,4008.300049,-0.008,Q3
30/9/2011,4008.600098,0,Q3
3/10/2011,3897,-0.028,Q4
4/10/2011,3872.100098,-0.006,Q4
5/10/2011,3926.5,0.014,Q4
6/10/2011,4069.899902,0.037,Q4
7/10/2011,4162.899902,0.023,Q4
11/10/2011,4227.600098,0.016,Q4
12/10/2011,4204.299805,-0.006,Q4
13/10/2011,4244.5,0.01,Q4
14/10/2011,4205.600098,-0.009,Q4
17/10/2011,4275.399902,0.017,Q4
18/10/2011,4186.899902,-0.021,Q4
19/10/2011,4213.700195,0.006,Q4
20/10/2011,4144.899902,-0.016,Q4
21/10/2011,4141.899902,-0.001,Q4
24/10/2011,4255,0.027,Q4
25/10/2011,4227.899902,-0.006,Q4
26/10/2011,4242.5,0.003,Q4
27/10/2011,4348.200195,0.025,Q4
28/10/2011,4353.299805,0.001,Q4
31/10/2011,4298.100098,-0.013,Q4
1/11/2011,4232.899902,-0.015,Q4
2/11/2011,4184.600098,-0.011,Q4
3/11/2011,4171.799805,-0.003,Q4
4/11/2011,4281.100098,0.026,Q4
7/11/2011,4273.399902,-0.002,Q4
8/11/2011,4293.799805,0.005,Q4
9/11/2011,4346.100098,0.012,Q4
10/11/2011,4244.100098,-0.023,Q4
11/11/2011,4296.5,0.012,Q4
14/11/2011,4304.600098,0.002,Q4
15/11/2011,4285.600098,-0.004,Q4
16/11/2011,4247.399902,-0.009,Q4
17/11/2011,4258.200195,0.003,Q4
18/11/2011,4177,-0.019,Q4
21/11/2011,4163,-0.003,Q4
22/11/2011,4133,-0.007,Q4
23/11/2011,4051,-0.02,Q4
24/11/2011,4044.199951,-0.002,Q4
25/11/2011,3984.300049,-0.015,Q4
28/11/2011,4058.199951,0.019,Q4
